Attachment Aditya,Creator,https://attaditya.repl.co/images/-1.png,C,000000,00ff99,
Tullax NFTs,,https://tullax.ml/Tullax.png,A,bf09bd,ffffff,box-shadow: 0 0 2rem 0.5rem #bf09bd;
